hour,symbol,news_count,sent_vader_mean,sent_vader_std,sent_finbert_mean,sent_finbert_std,finbert_pos_count,finbert_neg_count,news_count_lag1,news_count_lag2,sent_vader_mean_lag1,sent_vader_mean_lag2,sent_vader_std_lag1,sent_vader_std_lag2,sent_finbert_mean_lag1,sent_finbert_mean_lag2,sent_finbert_std_lag1,sent_finbert_std_lag2,finbert_pos_count_lag1,finbert_pos_count_lag2,finbert_neg_count_lag1,finbert_neg_count_lag2
2026-01-27 05:00:00+00:00,ETH,1,-0.6249,0.0,-0.8867778182029724,0.0,0,1,1.0,1.0,-0.3612,0.6486,0.0,0.0,-0.9613616466522217,0.9511972069740295,0.0,0.0,0.0,1.0,1.0,0.0
2026-01-28 07:00:00+00:00,ETH,1,0.0,0.0,-0.8299691081047058,0.0,0,1,1.0,1.0,-0.6249,-0.3612,0.0,0.0,-0.8867778182029724,-0.9613616466522217,0.0,0.0,0.0,0.0,1.0,1.0
2026-01-30 04:00:00+00:00,ETH,1,0.0,0.0,-0.8906948566436768,0.0,0,1,1.0,1.0,0.0,-0.6249,0.0,0.0,-0.8299691081047058,-0.8867778182029724,0.0,0.0,0.0,0.0,1.0,1.0
2026-01-30 22:00:00+00:00,ETH,1,0.0,0.0,0.9098347425460815,0.0,1,0,1.0,1.0,0.0,0.0,0.0,0.0,-0.8906948566436768,-0.8299691081047058,0.0,0.0,0.0,0.0,1.0,1.0
2026-01-31 12:00:00+00:00,ETH,1,0.0,0.0,0.0,0.0,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.9098347425460815,-0.8906948566436768,0.0,0.0,1.0,0.0,0.0,1.0
2026-02-02 21:00:00+00:00,ETH,1,0.4019,0.0,0.9102649092674255,0.0,1,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9098347425460815,0.0,0.0,0.0,1.0,0.0,0.0
2026-02-05 00:00:00+00:00,ETH,1,0.0,0.0,-0.9550858736038208,0.0,0,1,1.0,1.0,0.4019,0.0,0.0,0.0,0.9102649092674255,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2026-02-11 07:00:00+00:00,ETH,1,-0.7783,0.0,-0.911316990852356,0.0,0,1,1.0,1.0,0.0,0.4019,0.0,0.0,-0.9550858736038208,0.9102649092674255,0.0,0.0,0.0,1.0,1.0,0.0
2026-02-11 12:00:00+00:00,ETH,1,-0.3182,0.0,-0.963962197303772,0.0,0,1,1.0,1.0,-0.7783,0.0,0.0,0.0,-0.911316990852356,-0.9550858736038208,0.0,0.0,0.0,0.0,1.0,1.0
2026-02-12 21:00:00+00:00,ETH,1,-0.1027,0.0,-0.9654431343078613,0.0,0,1,1.0,1.0,-0.3182,-0.7783,0.0,0.0,-0.963962197303772,-0.911316990852356,0.0,0.0,0.0,0.0,1.0,1.0
2026-02-14 00:00:00+00:00,ETH,1,0.0,0.0,-0.9352858662605286,0.0,0,1,1.0,1.0,-0.1027,-0.3182,0.0,0.0,-0.9654431343078613,-0.963962197303772,0.0,0.0,0.0,0.0,1.0,1.0
2026-02-16 04:00:00+00:00,ETH,1,0.0,0.0,-0.8300096392631531,0.0,0,1,1.0,1.0,0.0,-0.1027,0.0,0.0,-0.9352858662605286,-0.9654431343078613,0.0,0.0,0.0,0.0,1.0,1.0
